"Row","FIPS","GENC","Country/Area Name","Year","Area in Square Kilometers","Population","Annual Growth Rate %","Rate of Natural Increase","Population Density (People per Sq. Km.)","Crude Birth Rate","Crude Death Rate","Net Migration Rate"
"427","HU","HU","Hungary","2012","89608","9950567","-0.206","-0.343","111","9.5","12.93","1.37"
"428","HU","HU","Hungary","2013","89608","9929530","-0.217","-0.353","110.8","9.38","12.91","1.36"
"429","HU","HU","Hungary","2014","89608","9907419","-0.228","-0.363","110.6","9.27","12.9","1.34"
"430","HU","HU","Hungary","2015","89608","9884329","-0.238","-0.371","110.3","9.18","12.89","1.33"
"431","HU","HU","Hungary","2016","89608","9860398","-0.247","-0.378","110","9.1","12.88","1.31"
"432","HU","HU","Hungary","2017","89608","9835682","-0.255","-0.385","109.8","9.02","12.87","1.3"
"433","HU","HU","Hungary","2018","89608","9810134","-0.265","-0.393","109.5","8.94","12.87","1.28"
"434","HU","HU","Hungary","2019","89608","9783707","-0.275","-0.401","109.2","8.86","12.87","1.27"
"435","HU","HU","Hungary","2020","89608","9756400","-0.284","-0.409","108.9","8.79","12.88","1.26"
"436","HU","HU","Hungary","2021","89608","9728337","-0.292","-0.416","108.6","8.72","12.88","1.24"
"437","HU","HU","Hungary","2022","89608","9699577","-0.3","-0.423","108.2","8.65","12.88","1.23"
"438","IC","IS","Iceland","2000","100250","281038","1.494","0.885","2.8","15.35","6.5","6.1"
"439","IC","IS","Iceland","2001","100250","284805","1.171","0.83","2.8","14.36","6.06","3.4"
"440","IC","IS","Iceland","2002","100250","287448","0.679","0.775","2.9","14.09","6.34","-0.96"
"441","IC","IS","Iceland","2003","100250","289516","0.754","0.8","2.9","14.31","6.31","-0.46"
"442","IC","IS","Iceland","2004","100250","292078","1.007","0.826","2.9","14.5","6.24","1.81"
"443","IC","IS","Iceland","2005","100250","296699","2.124","0.824","3","14.43","6.19","13.01"
"444","IC","IS","Iceland","2006","100250","303734","2.557","0.827","3","14.54","6.27","17.3"
"445","IC","IS","Iceland","2007","100250","311492","2.488","0.84","3.1","14.64","6.24","16.48"
"446","IC","IS","Iceland","2008","100250","317363","1.258","0.897","3.2","15.23","6.26","3.6"
"447","IC","IS","Iceland","2009","100250","318453","-0.569","0.949","3.2","15.78","6.29","-15.18"
"448","IC","IS","Iceland","2010","100250","317924","0.237","0.908","3.2","15.43","6.35","-6.71"
"449","IC","IS","Iceland","2011","100250","318851","0.346","0.786","3.2","14.09","6.23","-4.4"
"450","IC","IS","Iceland","2012","100250","320531","0.705","0.804","3.2","14.14","6.1","-1"
"451","IC","IS","Iceland","2013","100250","323744","1.287","0.793","3.2","14.1","6.17","4.94"
"452","IC","IS","Iceland","2014","100250","327872","1.247","0.779","3.3","14.01","6.22","4.68"
"453","IC","IS","Iceland","2015","100250","331919","1.207","0.763","3.3","13.9","6.27","4.43"
"454","IC","IS","Iceland","2016","100250","335881","1.167","0.748","3.4","13.8","6.32","4.2"
"455","IC","IS","Iceland","2017","100250","339755","1.127","0.73","3.4","13.68","6.38","3.96"
"456","IC","IS","Iceland","2018","100250","343534","1.085","0.712","3.4","13.56","6.44","3.73"
"457","IC","IS","Iceland","2019","100250","347209","1.043","0.692","3.5","13.42","6.5","3.51"
"458","IC","IS","Iceland","2020","100250","350773","0.999","0.669","3.5","13.26","6.57","3.3"
"459","IC","IS","Iceland","2021","100250","354234","0.965","0.656","3.5","13.12","6.56","3.09"
"460","IC","IS","Iceland","2022","100250","357603","0.929","0.64","3.6","12.96","6.56","2.89"
"461","EI","IE","Ireland","2000","68883","3822196","1.266","0.612","55.5","14.33","8.21","6.54"
"462","EI","IE","Ireland","2001","68883","3872700","1.359","0.714","56.2","14.94","7.8","6.45"
"463","EI","IE","Ireland","2002","68883","3933126","1.735","0.783","57.1","15.38","7.55","9.51"
"464","EI","IE","Ireland","2003","68883","4002170","1.746","0.811","58.1","15.37","7.26","9.35"
"465","EI","IE","Ireland","2004","68883","4091162","2.643","0.814","59.4","15.15","7.01","18.29"
"466","EI","IE","Ireland","2005","68883","4199185","2.57","0.789","61","14.62","6.73","17.82"
"467","EI","IE","Ireland","2006","68883","4309024","2.593","0.857","62.6","15.18","6.61","17.36"
"468","EI","IE","Ireland","2007","68883","4419984","2.493","0.963","64.2","15.98","6.35","15.29"
"469","EI","IE","Ireland","2008","68883","4517706","1.888","1.038","65.6","16.62","6.24","8.5"
"470","EI","IE","Ireland","2009","68883","4579972","0.857","1.03","66.5","16.57","6.27","-1.72"
"471","EI","IE","Ireland","2010","68883","4622824","1.005","1.005","67.1","16.37","6.32","0"
"472","EI","IE","Ireland","2011","68883","4670781","1.059","0.973","67.8","16.1","6.37","0.86"
"473","EI","IE","Ireland","2012","68883","4721704","1.109","0.94","68.5","15.81","6.41","1.69"
"474","EI","IE","Ireland","2013","68883","4775487","1.156","0.904","69.3","15.49","6.45","2.51"
"475","EI","IE","Ireland","2014","68883","4832026","1.198","0.867","70.1","15.15","6.48","3.31"
"476","EI","IE","Ireland","2015","68883","4891224","1.237","0.829","71","14.8","6.51","4.09"
"477","EI","IE","Ireland","2016","68883","4950973","1.192","0.787","71.9","14.42","6.55","4.04"
"478","EI","IE","Ireland","2017","68883","5009156","1.145","0.747","72.7","14.05","6.58","3.99"
"479","EI","IE","Ireland","2018","68883","5065676","1.099","0.704","73.5","13.67","6.63","3.95"
"480","EI","IE","Ireland","2019","68883","5120458","1.053","0.662","74.3","13.29","6.67","3.91"
"481","EI","IE","Ireland","2020","68883","5173463","1.007","0.621","75.1","12.93","6.72","3.87"
"482","EI","IE","Ireland","2021","68883","5224884","0.971","0.588","75.9","12.6","6.72","3.83"
"483","EI","IE","Ireland","2022","68883","5275004","0.939","0.559","76.6","12.32","6.73","3.79"
"484","IM","IM","Isle of Man","2000","572","75703","0.898","-0.087","132.3","10.98","11.85","9.85"
"485","IM","IM","Isle of Man","2001","572","76422","0.993","0.01","133.6","11.29","11.19","9.83"
"486","IM","IM","Isle of Man","2002","572","77190","1.007","0.034","134.9","11.7","11.36","9.73"
"487","IM","IM","Isle of Man","2003","572","77958","0.974","0.01","136.3","11.03","10.93","9.63"
"488","IM","IM","Isle of Man","2004","572","78744","1.035","0.082","137.7","10.95","10.13","9.54"
"489","IM","IM","Isle of Man","2005","572","79590","1.102","0.158","139.1","11.32","9.74","9.44"
"490","IM","IM","Isle of Man","2006","572","80472","1.103","0.171","140.7","11.25","9.54","9.33"
"491","IM","IM","Isle of Man","2007","572","81347","1.058","0.16","142.2","11.3","9.7","8.99"
"492","IM","IM","Isle of Man","2008","572","82201","1.032","0.165","143.7","11.91","10.26","8.66"
"493","IM","IM","Isle of Man","2009","572","83031","0.979","0.145","145.2","11.69","10.24","8.33"
"494","IM","IM","Isle of Man","2010","572","83829","0.933","0.131","146.6","11.55","10.24","8.02"
"495","IM","IM","Isle of Man","2011","572","84597","0.892","0.121","147.9","11.43","10.22","7.72"
"496","IM","IM","Isle of Man","2012","572","85339","0.857","0.114","149.2","11.35","10.21","7.42"
"497","IM","IM","Isle of Man","2013","572","86058","0.822","0.109","150.5","11.28","10.19","7.12"
"498","IM","IM","Isle of Man","2014","572","86751","0.784","0.099","151.7","11.18","10.19","6.85"
"499","IM","IM","Isle of Man","2015","572","87418","0.748","0.092","152.8","11.11","10.19","6.57"
"500","IM","IM","Isle of Man","2016","572","88060","0.714","0.086","154","11.05","10.19","6.28"
"501","IM","IM","Isle of Man","2017","572","88678","0.683","0.083","155","11.01","10.18","6.01"
"502","IM","IM","Isle of Man","2018","572","89272","0.651","0.075","156.1","10.94","10.19","5.76"
"503","IM","IM","Isle of Man","2019","572","89840","0.618","0.067","157.1","10.87","10.2","5.5"
"504","IM","IM","Isle of Man","2020","572","90381","0.583","0.059","158","10.8","10.21","5.24"
"505","IM","IM","Isle of Man","2021","572","90895","0.551","0.05","158.9","10.69","10.19","5.01"
"506","IM","IM","Isle of Man","2022","572","91382","0.517","0.04","159.8","10.58","10.18","4.76"
"507","IT","IT","Italy","2000","294140","57784371","0.273","-0.021","196.5","9.4","9.61","2.95"
"508","IT","IT","Italy","2001","294140","57931051","0.234","-0.029","197","9.24","9.53","2.63"
"509","IT","IT","Italy","2002","294140","58076701","0.269","-0.03","197.4","9.27","9.57","2.99"
"510","IT","IT","Italy","2003","294140","58336020","0.622","-0.076","198.3","9.33","10.09","6.99"
"511","IT","IT","Italy","2004","294140","58716001","0.677","0.03","199.6","9.58","9.28","6.47"
"512","IT","IT","Italy","2005","294140","59037807","0.417","-0.025","200.7","9.38","9.63","4.41"
"513","IT","IT","Italy","2006","294140","59272879","0.378","0.003","201.5","9.45","9.42","3.75"
"514","IT","IT","Italy","2007","294140","59626719","0.812","-0.015","202.7","9.46","9.61","8.27"
"515","IT","IT","Italy","2008","294140","60091305","0.741","-0.014","204.3","9.6","9.74","7.55"
"516","IT","IT","Italy","2009","294140","60461584","0.488","-0.038","205.6","9.41","9.79","5.26"
"517","IT","IT","Italy","2010","294140","60786485","0.583","-0.042","206.7","9.24","9.66","6.25"
"518","IT","IT","Italy","2011","294140","61092001","0.42","-0.076","207.7","8.95","9.71","4.97"
"519","IT","IT","Italy","2012","294140","61303175","0.271","-0.129","208.4","8.71","10","3.99"
"520","IT","IT","Italy","2013","294140","61433746","0.155","-0.141","208.9","8.37","9.78","2.96"
"521","IT","IT","Italy","2014","294140","61504156","0.074","-0.156","209.1","8.17","9.73","2.3"
"522","IT","IT","Italy","2015","294140","61512589","-0.047","-0.263","209.1","7.9","10.53","2.16"
"523","IT","IT","Italy","2016","294140","61499222","0.003","-0.23","209.1","7.7","10","2.34"
"524","IT","IT","Italy","2017","294140","61498899","-0.004","-0.31","209.1","7.45","10.55","3.06"
"525","IT","IT","Italy","2018","294140","61488598","-0.029","-0.315","209","7.15","10.3","2.85"
"526","IT","IT","Italy","2019","294140","61449057","-0.099","-0.348","208.9","6.84","10.32","2.49"
"527","IT","IT","Italy","2020","294140","61337765","-0.263","-0.53","208.5","6.86","12.16","2.67"
"528","IT","IT","Italy","2021","294140","61196793","-0.197","-0.482","208.1","6.9","11.72","2.85"
"529","IT","IT","Italy","2022","294140","61095551","-0.134","-0.436","207.7","6.95","11.31","3.02"
"530","JE","JE","Jersey","2000","116","87379","0.475","0.22","753.3","11.17","8.97","2.55"
"531","JE","JE","Jersey","2001","116","87731","0.329","0.215","756.3","11.09","8.94","1.14"
"532","JE","JE","Jersey","2002","116","87970","0.215","0.101","758.4","10.57","9.56","1.14"
"533","JE","JE","Jersey","2003","116","88087","0.051","0.278","759.4","11.41","8.63","-2.27"
"534","JE","JE","Jersey","2004","116","88171","0.14","0.253","760.1","11.01","8.48","-1.13"
"535","JE","JE","Jersey","2005","116","88491","0.584","0.245","762.9","10.95","8.5","3.39"
"536","JE","JE","Jersey","2006","116","89245","1.11","0.214","769.4","10.64","8.5","8.96"
"537","JE","JE","Jersey","2007","116","90452","1.573","0.357","779.8","11.39","7.82","12.16"
"538","JE","JE","Jersey","2008","116","91628","1.015","0.251","789.9","10.62","8.11","7.64"
"539","JE","JE","Jersey","2009","116","92515","0.912","0.264","797.5","10.65","8.01","6.49"
"540","JE","JE","Jersey","2010","116","93317","0.815","0.28","804.5","10.74","7.94","5.36"
"541","JE","JE","Jersey","2011","116","94074","0.801","0.297","811","10.87","7.9","5.04"
"542","JE","JE","Jersey","2012","116","94826","0.792","0.321","817.5","11.07","7.86","4.7"
"543","JE","JE","Jersey","2013","116","95578","0.787","0.347","823.9","11.29","7.82","4.39"
"544","JE","JE","Jersey","2014","116","96330","0.783","0.373","830.4","11.52","7.79","4.09"
"545","JE","JE","Jersey","2015","116","97084","0.776","0.398","836.9","11.75","7.77","3.77"
"546","JE","JE","Jersey","2016","116","97836","0.768","0.42","843.4","11.96","7.76","3.48"
"547","JE","JE","Jersey","2017","116","98586","0.76","0.441","849.9","12.16","7.75","3.19"
"548","JE","JE","Jersey","2018","116","99332","0.745","0.457","856.3","12.31","7.74","2.88"
"549","JE","JE","Jersey","2019","116","100066","0.726","0.466","862.6","12.4","7.74","2.6"
"550","JE","JE","Jersey","2020","116","100782","0.701","0.468","868.8","12.45","7.77","2.32"
"551","JE","JE","Jersey","2021","116","101476","0.673","0.47","874.8","12.46","7.76","2.03"
"552","JE","JE","Jersey","2022","116","102146","0.642","0.466","880.6","12.41","7.75","1.76"
"553","KV","XK","Kosovo","2000","10887","1700132","1.031","1.573","156.2","22.76","7.03","-5.41"
"554","KV","XK","Kosovo","2001","10887","1720532","1.353","1.469","158","21.74","7.05","-1.17"
"555","KV","XK","Kosovo","2002","10887","1737479","0.611","1.372","159.6","20.8","7.08","-7.6"
"556","KV","XK","Kosovo","2003","10887","1747527","0.542","1.133","160.5","18.31","6.98","-5.9"
"557","KV","XK","Kosovo","2004","10887","1757128","0.554","1.299","161.4","19.95","6.96","-7.46"
"558","KV","XK","Kosovo","2005","10887","1767272","0.597","1.386","162.3","20.89","7.03","-7.89"
"559","KV","XK","Kosovo","2006","10887","1776648","0.461","1.206","163.2","19.09","7.03","-7.45"
"560","KV","XK","Kosovo","2007","10887","1785393","0.521","1.224","164","19.25","7.01","-7.03"
"561","KV","XK","Kosovo","2008","10887","1794860","0.537","1.197","164.9","19.01","7.04","-6.6"
"562","KV","XK","Kosovo","2009","10887","1804666","0.553","1.17","165.8","18.76","7.06","-6.18"
"563","KV","XK","Kosovo","2010","10887","1814820","0.569","1.145","166.7","18.53","7.08","-5.76"
"564","KV","XK","Kosovo","2011","10887","1825340","0.587","1.121","167.7","18.28","7.07","-5.34"
"565","KV","XK","Kosovo","2012","10887","1836167","0.596","1.089","168.7","17.95","7.06","-4.93"
"566","KV","XK","Kosovo","2013","10887","1847268","0.61","1.063","169.7","17.68","7.05","-4.53"
"567","KV","XK","Kosovo","2014","10887","1858674","0.622","1.034","170.7","17.39","7.05","-4.12"
"568","KV","XK","Kosovo","2015","10887","1870354","0.631","1.004","171.8","17.09","7.05","-3.73"
"569","KV","XK","Kosovo","2016","10887","1882352","0.647","0.98","172.9","16.78","6.98","-3.33"
"570","KV","XK","Kosovo","2017","10887","1894666","0.657","0.951","174","16.42","6.91","-2.94"
"571","KV","XK","Kosovo","2018","10887","1907199","0.662","0.917","175.2","16.03","6.86","-2.56"
"572","KV","XK","Kosovo","2019","10887","1919978","0.674","0.891","176.4","15.72","6.81","-2.18"
"573","KV","XK","Kosovo","2020","10887","1931888","0.564","0.744","177.4","15.42","7.98","-1.8"
"574","KV","XK","Kosovo","2021","10887","1942251","0.506","0.65","178.4","15.14","8.64","-1.44"
"575","KV","XK","Kosovo","2022","10887","1952701","0.567","0.673","179.4","14.85","8.12","-1.07"
"576","LG","LV","Latvia","2000","62249","2368427","-0.736","-0.505","38","8.55","13.6","-2.31"
"577","LG","LV","Latvia","2001","62249","2350481","-0.786","-0.567","37.8","8.37","14.04","-2.19"
"578","LG","LV","Latvia","2002","62249","2330425","-0.929","-0.535","37.4","8.6","13.95","-3.95"
"579","LG","LV","Latvia","2003","62249","2308159","-0.991","-0.489","37.1","9.16","14.05","-5.02"
"580","LG","LV","Latvia","2004","62249","2283318","-1.174","-0.503","36.7","9","14.03","-6.71"
"581","LG","LV","Latvia","2005","62249","2258990","-0.968","-0.483","36.3","9.68","14.51","-4.85"
"582","LG","LV","Latvia","2006","62249","2238543","-0.85","-0.457","36","10.22","14.79","-3.93"
"583","LG","LV","Latvia","2007","62249","2220509","-0.767","-0.409","35.7","10.79","14.88","-3.58"
"584","LG","LV","Latvia","2008","62249","2197506","-1.319","-0.301","35.3","11.1","14.11","-10.18"
"585","LG","LV","Latvia","2009","62249","2161153","-2.023","-0.363","34.7","10.2","13.83","-16.6"
"586","LG","LV","Latvia","2010","62249","2115339","-2.264","-0.485","34","9.35","14.2","-17.79"
"587","LG","LV","Latvia","2011","62249","2076493","-1.435","-0.467","33.4","9.07","13.74","-9.67"
"588","LG","LV","Latvia","2012","62249","2051103","-1.023","-0.445","32.9","9.7","14.15","-5.78"
"589","LG","LV","Latvia","2013","62249","2029430","-1.102","-0.399","32.6","10.15","14.14","-7.03"
"590","LG","LV","Latvia","2014","62249","2007714","-1.05","-0.417","32.3","10.08","14.25","-6.33"
"591","LG","LV","Latvia","2015","62249","1986717","-1.053","-0.434","31.9","10","14.34","-6.19"
"592","LG","LV","Latvia","2016","62249","1965848","-1.059","-0.455","31.6","9.88","14.43","-6.04"
"593","LG","LV","Latvia","2017","62249","1945078","-1.065","-0.476","31.2","9.75","14.51","-5.89"
"594","LG","LV","Latvia","2018","62249","1924381","-1.074","-0.499","30.9","9.59","14.58","-5.74"
"595","LG","LV","Latvia","2019","62249","1903750","-1.082","-0.522","30.6","9.4","14.62","-5.59"
"596","LG","LV","Latvia","2020","62249","1883186","-1.09","-0.545","30.3","9.19","14.64","-5.46"
"597","LG","LV","Latvia","2021","62249","1862687","-1.099","-0.567","29.9","8.96","14.63","-5.32"
"598","LG","LV","Latvia","2022","62249","1842226","-1.111","-0.592","29.6","8.73","14.65","-5.19"
"599","LS","LI","Liechtenstein","2000","160","32748","1.368","0.553","204.7","12.83","7.3","8.15"
"600","LS","LI","Liechtenstein","2001","160","33312","2.044","0.544","208.2","12.04","6.6","15.01"
"601","LS","LI","Liechtenstein","2002","160","33821","0.999","0.532","211.4","11.68","6.36","4.67"
"602","LS","LI","Liechtenstein","2003","160","34206","1.26","0.38","213.8","10.14","6.34","8.8"
"603","LS","LI","Liechtenstein","2004","160","34574","0.885","0.503","216.1","10.76","5.73","3.82"
"604","LS","LI","Liechtenstein","2005","160","34880","0.874","0.476","218","10.92","6.16","3.99"
"605","LS","LI","Liechtenstein","2006","160","35164","0.748","0.401","219.8","10.27","6.26","3.47"
"606","LS","LI","Liechtenstein","2007","160","35390","0.531","0.351","221.2","9.92","6.41","1.81"
"607","LS","LI","Liechtenstein","2008","160","35600","0.654","0.407","222.5","9.83","5.76","2.47"
"608","LS","LI","Liechtenstein","2009","160","35856","0.781","0.493","224.1","11.32","6.39","2.87"
"609","LS","LI","Liechtenstein","2010","160","36137","0.783","0.457","225.9","11.07","6.5","3.27"
"610","LS","LI","Liechtenstein","2011","160","36422","0.791","0.426","227.6","10.9","6.64","3.65"
"611","LS","LI","Liechtenstein","2012","160","36713","0.795","0.398","229.5","10.76","6.78","3.98"
"612","LS","LI","Liechtenstein","2013","160","37010","0.813","0.378","231.3","10.67","6.89","4.35"
"613","LS","LI","Liechtenstein","2014","160","37314","0.823","0.351","233.2","10.53","7.02","4.72"
"614","LS","LI","Liechtenstein","2015","160","37625","0.837","0.329","235.2","10.47","7.18","5.08"
"615","LS","LI","Liechtenstein","2016","160","37938","0.817","0.313","237.1","10.41","7.28","5.03"
"616","LS","LI","Liechtenstein","2017","160","38245","0.795","0.295","239","10.38","7.43","4.99"
"617","LS","LI","Liechtenstein","2018","160","38547","0.778","0.283","240.9","10.38","7.55","4.95"
"618","LS","LI","Liechtenstein","2019","160","38845","0.757","0.265","242.8","10.35","7.7","4.92"
"619","LS","LI","Liechtenstein","2020","160","39137","0.738","0.251","244.6","10.35","7.84","4.88"
"620","LS","LI","Liechtenstein","2021","160","39425","0.731","0.246","246.4","10.35","7.89","4.84"
"621","LS","LI","Liechtenstein","2022","160","39711","0.715","0.234","248.2","10.32","7.98","4.81"
"622","LH","LT","Lithuania","2000","62680","3489407","-0.261","-0.136","55.7","9.79","11.15","-1.25"
"623","LH","LT","Lithuania","2001","62680","3475393","-0.544","-0.254","55.4","9.08","11.62","-2.9"
"624","LH","LT","Lithuania","2002","62680","3453903","-0.697","-0.334","55.1","8.55","11.89","-3.63"
"625","LH","LT","Lithuania","2003","62680","3424736","-1.001","-0.322","54.6","8.75","11.97","-6.79"
"626","LH","LT","Lithuania","2004","62680","3384473","-1.367","-0.341","54","8.8","12.21","-10.25"
"627","LH","LT","Lithuania","2005","62680","3326633","-2.087","-0.43","53.1","8.87","13.17","-16.58"
"628","LH","LT","Lithuania","2006","62680","3271018","-1.278","-0.465","52.2","9.05","13.7","-8.13"
"629","LH","LT","Lithuania","2007","62680","3230566","-1.21","-0.483","51.5","9.29","14.12","-7.27"
"630","LH","LT","Lithuania","2008","62680","3195990","-0.94","-0.384","51","9.87","13.71","-5.56"
"631","LH","LT","Lithuania","2009","62680","3158758","-1.406","-0.313","50.4","10.18","13.31","-10.94"
"632","LH","LT","Lithuania","2010","62680","3088773","-3.094","-0.371","49.3","9.93","13.64","-27.23"
"633","LH","LT","Lithuania","2011","62680","3015011","-1.724","-0.357","48.1","10.04","13.61","-13.66"
"634","LH","LT","Lithuania","2012","62680","2973159","-1.067","-0.353","47.4","10.24","13.77","-7.15"
"635","LH","LT","Lithuania","2013","62680","2943358","-0.947","-0.376","47","10.15","13.91","-5.71"
"636","LH","LT","Lithuania","2014","62680","2914439","-1.028","-0.394","46.5","10.14","14.08","-6.34"
"637","LH","LT","Lithuania","2015","62680","2884632","-1.028","-0.418","46","10.1","14.28","-6.1"
"638","LH","LT","Lithuania","2016","62680","2855139","-1.028","-0.442","45.6","10.04","14.46","-5.85"
"639","LH","LT","Lithuania","2017","62680","2825940","-1.028","-0.467","45.1","9.95","14.62","-5.62"
"640","LH","LT","Lithuania","2018","62680","2797002","-1.03","-0.491","44.6","9.85","14.76","-5.39"
"641","LH","LT","Lithuania","2019","62680","2768295","-1.033","-0.516","44.2","9.72","14.88","-5.17"
"642","LH","LT","Lithuania","2020","62680","2739816","-1.035","-0.54","43.7","9.57","14.97","-4.96"
"643","LH","LT","Lithuania","2021","62680","2711566","-1.038","-0.563","43.3","9.42","15.05","-4.75"
"644","LH","LT","Lithuania","2022","62680","2683546","-1.04","-0.586","42.8","9.26","15.12","-4.54"
"645","LU","LU","Luxembourg","2000","2586","438499","1.28","0.449","169.6","13.05","8.56","8.31"
"646","LU","LU","Luxembourg","2001","2586","443831","1.138","0.392","171.6","12.3","8.38","7.46"
"647","LU","LU","Luxembourg","2002","2586","448481","0.948","0.357","173.4","11.92","8.35","5.91"
"648","LU","LU","Luxembourg","2003","2586","453937","1.468","0.275","175.5","11.68","8.93","11.92"
"649","LU","LU","Luxembourg","2004","2586","460400","1.361","0.407","178","11.84","7.77","9.54"
"650","LU","LU","Luxembourg","2005","2586","467463","1.681","0.374","180.8","11.49","7.75","13.07"
"651","LU","LU","Luxembourg","2006","2586","474942","1.495","0.368","183.7","11.61","7.93","11.27"
"652","LU","LU","Luxembourg","2007","2586","482297","1.578","0.334","186.5","11.36","8.02","12.44"
"653","LU","LU","Luxembourg","2008","2586","490953","1.976","0.408","189.9","11.4","7.32","15.68"
"654","LU","LU","Luxembourg","2009","2586","500087","1.713","0.396","193.4","11.27","7.31","13.16"
"655","LU","LU","Luxembourg","2010","2586","509257","1.919","0.415","196.9","11.53","7.38","15.04"
"656","LU","LU","Luxembourg","2011","2586","520556","2.464","0.349","201.3","10.83","7.34","21.14"
"657","LU","LU","Luxembourg","2012","2586","533061","2.286","0.403","206.1","11.3","7.27","18.83"
"658","LU","LU","Luxembourg","2013","2586","545475","2.317","0.42","210.9","11.21","7.01","18.97"
"659","LU","LU","Luxembourg","2014","2586","558008","2.227","0.423","215.8","11.29","7.06","18.04"
"660","LU","LU","Luxembourg","2015","2586","570327","2.142","0.427","220.5","11.37","7.1","17.16"
"661","LU","LU","Luxembourg","2016","2586","582432","2.06","0.429","225.2","11.44","7.15","16.31"
"662","LU","LU","Luxembourg","2017","2586","594319","1.982","0.431","229.8","11.5","7.19","15.51"
"663","LU","LU","Luxembourg","2018","2586","605984","1.906","0.432","234.3","11.55","7.23","14.75"
"664","LU","LU","Luxembourg","2019","2586","617419","1.833","0.432","238.8","11.59","7.27","14.02"
"665","LU","LU","Luxembourg","2020","2586","628615","1.761","0.429","243.1","11.61","7.32","13.32"
"666","LU","LU","Luxembourg","2021","2586","639589","1.701","0.436","247.3","11.62","7.26","12.65"
"667","LU","LU","Luxembourg","2022","2586","650364","1.641","0.44","251.5","11.61","7.21","12.01"
"668","MT","MT","Malta","2000","316","394215","0.701","0.299","1247.5","11.13","8.14","4.02"
"669","MT","MT","Malta","2001","316","396765","0.589","0.19","1255.6","9.92","8.02","3.99"
"670","MT","MT","Malta","2002","316","399174","0.622","0.226","1263.2","9.79","7.53","3.97"
"671","MT","MT","Malta","2003","316","401653","0.616","0.222","1271.1","10.05","7.83","3.94"
"672","MT","MT","Malta","2004","316","404123","0.61","0.218","1278.9","9.62","7.44","3.92"
"673","MT","MT","Malta","2005","316","406510","0.568","0.179","1286.4","9.49","7.7","3.9"
"674","MT","MT","Malta","2006","316","407973","0.151","0.138","1291.1","9.26","7.88","0.13"
"675","MT","MT","Malta","2007","316","409389","0.541","0.16","1295.5","9.2","7.6","3.82"
"676","MT","MT","Malta","2008","316","412044","0.751","0.187","1303.9","9.74","7.87","5.64"
"677","MT","MT","Malta","2009","316","415142","0.747","0.195","1313.7","9.71","7.76","5.52"
"678","MT","MT","Malta","2010","316","417173","0.231","0.212","1320.2","9.34","7.22","0.18"
"679","MT","MT","Malta","2011","316","418933","0.61","0.214","1325.7","9.94","7.8","3.96"
"680","MT","MT","Malta","2012","316","422121","0.904","0.168","1335.8","9.78","8.1","7.36"
"681","MT","MT","Malta","2013","316","426039","0.944","0.186","1348.2","9.46","7.6","7.57"
"682","MT","MT","Malta","2014","316","430028","0.921","0.215","1360.8","9.75","7.6","7.07"
"683","MT","MT","Malta","2015","316","434537","1.164","0.203","1375.1","9.95","7.92","9.61"
"684","MT","MT","Malta","2016","316","439578","1.143","0.246","1391.1","10.01","7.55","8.97"
"685","MT","MT","Malta","2017","316","444458","1.066","0.231","1406.5","10.03","7.72","8.35"
"686","MT","MT","Malta","2018","316","449044","0.988","0.213","1421","10.02","7.89","7.75"
"687","MT","MT","Malta","2019","316","453321","0.908","0.192","1434.6","9.99","8.07","7.16"
"688","MT","MT","Malta","2020","316","457270","0.826","0.167","1447.1","9.93","8.26","6.59"
"689","MT","MT","Malta","2021","316","460891","0.751","0.147","1458.5","9.84","8.37","6.04"
"690","MT","MT","Malta","2022","316","464186","0.674","0.125","1468.9","9.73","8.48","5.49"
"691","MD","MD","Moldova","2000","32891","4180215","-1.089","-0.12","127.1","10.33","11.53","-9.69"
"692","MD","MD","Moldova","2001","32891","4135094","-1.082","-0.102","125.7","10.3","11.32","-9.8"
"693","MD","MD","Moldova","2002","32891","4088890","-1.166","-0.175","124.3","10.2","11.95","-9.91"
"694","MD","MD","Moldova","2003","32891","4040951","-1.193","-0.191","122.9","10.54","12.45","-10.03"
"695","MD","MD","Moldova","2004","32891","3994611","-1.113","-0.099","121.4","11.19","12.18","-10.14"
"696","MD","MD","Moldova","2005","32891","3948260","-1.222","-0.206","120","11.15","13.21","-10.15"
"697","MD","MD","Moldova","2006","32891","3901079","-1.183","-0.166","118.6","11.25","12.91","-10.17"
"698","MD","MD","Moldova","2007","32891","3855441","-1.171","-0.153","117.2","11.5","13.03","-10.18"
"699","MD","MD","Moldova","2008","32891","3811762","-1.108","-0.09","115.9","11.95","12.85","-10.18"
"700","MD","MD","Moldova","2009","32891","3770697","-1.059","-0.042","114.6","12.63","13.05","-10.17"
"701","MD","MD","Moldova","2010","32891","3731159","-1.05","-0.035","113.4","12.64","12.99","-10.14"
"702","MD","MD","Moldova","2011","32891","3692309","-1.044","-0.034","112.3","12.58","12.92","-10.09"
"703","MD","MD","Moldova","2012","32891","3654059","-1.039","-0.037","111.1","12.49","12.86","-10.02"
"704","MD","MD","Moldova","2013","32891","3616348","-1.036","-0.043","109.9","12.37","12.8","-9.93"
"705","MD","MD","Moldova","2014","32891","3579084","-1.036","-0.055","108.8","12.2","12.75","-9.81"
"706","MD","MD","Moldova","2015","32891","3542172","-1.038","-0.069","107.7","12","12.69","-9.68"
