Nacional;Comunidades y Ciudades Aut�nomas;Sexo;Periodo;Total
Total;CANTABRIA;Total;2015;585.179
Total;CANTABRIA;Total;2014;588.656
Total;CANTABRIA;Total;2013;591.888
Total;CANTABRIA;Total;2012;593.861
Total;CANTABRIA;Total;2011;593.121
Total;CANTABRIA;Total;2010;592.250
Total;CANTABRIA;Total;2009;589.235
Total;CANTABRIA;Total;2008;582.138
Total;CANTABRIA;Total;2007;572.824
Total;CANTABRIA;Total;2006;568.091
Total;CANTABRIA;Total;2005;562.309
Total;CANTABRIA;Total;2004;554.784
Total;CANTABRIA;Total;2003;549.690
Total;CANTABRIA;Total;2002;542.275
Total;CANTABRIA;Total;2001;537.606
Total;CANTABRIA;Total;2000;531.159
Total;CANTABRIA;Total;1999;528.478
Total;CANTABRIA;Total;1998;527.137
Total;CASTILLA Y LEON;Total;2021;2.383.139
Total;CASTILLA Y LEON;Total;2020;2.394.918
Total;CASTILLA Y LEON;Total;2019;2.399.548
Total;CASTILLA Y LEON;Total;2018;2.409.164
Total;CASTILLA Y LEON;Total;2017;2.425.801
Total;CASTILLA Y LEON;Total;2016;2.447.519
Total;CASTILLA Y LEON;Total;2015;2.472.052
Total;CASTILLA Y LEON;Total;2014;2.494.790
Total;CASTILLA Y LEON;Total;2013;2.519.875
Total;CASTILLA Y LEON;Total;2012;2.546.078
Total;CASTILLA Y LEON;Total;2011;2.558.463
Total;CASTILLA Y LEON;Total;2010;2.559.515
Total;CASTILLA Y LEON;Total;2009;2.563.521
Total;CASTILLA Y LEON;Total;2008;2.557.330
Total;CASTILLA Y LEON;Total;2007;2.528.417
Total;CASTILLA Y LEON;Total;2006;2.523.020
Total;CASTILLA Y LEON;Total;2005;2.510.849
Total;CASTILLA Y LEON;Total;2004;2.493.918
Total;CASTILLA Y LEON;Total;2003;2.487.646
Total;CASTILLA Y LEON;Total;2002;2.480.369
Total;CASTILLA Y LEON;Total;2001;2.479.425
Total;CASTILLA Y LEON;Total;2000;2.479.118
Total;CASTILLA Y LEON;Total;1999;2.488.062
Total;CASTILLA Y LEON;Total;1998;2.484.603
Total;CASTILLA-LA MANCHA;Total;2021;2.049.562
Total;CASTILLA-LA MANCHA;Total;2020;2.045.221
Total;CASTILLA-LA MANCHA;Total;2019;2.032.863
Total;CASTILLA-LA MANCHA;Total;2018;2.026.807
Total;CASTILLA-LA MANCHA;Total;2017;2.031.479
Total;CASTILLA-LA MANCHA;Total;2016;2.041.631
Total;CASTILLA-LA MANCHA;Total;2015;2.059.191
Total;CASTILLA-LA MANCHA;Total;2014;2.078.611
Total;CASTILLA-LA MANCHA;Total;2013;2.100.998
Total;CASTILLA-LA MANCHA;Total;2012;2.121.888
Total;CASTILLA-LA MANCHA;Total;2011;2.115.334
Total;CASTILLA-LA MANCHA;Total;2010;2.098.373
Total;CASTILLA-LA MANCHA;Total;2009;2.081.313
Total;CASTILLA-LA MANCHA;Total;2008;2.043.100
Total;CASTILLA-LA MANCHA;Total;2007;1.977.304
Total;CASTILLA-LA MANCHA;Total;2006;1.932.261
Total;CASTILLA-LA MANCHA;Total;2005;1.894.667
Total;CASTILLA-LA MANCHA;Total;2004;1.848.881
Total;CASTILLA-LA MANCHA;Total;2003;1.815.781
Total;CASTILLA-LA MANCHA;Total;2002;1.782.038
Total;CASTILLA-LA MANCHA;Total;2001;1.755.053
Total;CASTILLA-LA MANCHA;Total;2000;1.734.261
Total;CASTILLA-LA MANCHA;Total;1999;1.726.199
Total;CASTILLA-LA MANCHA;Total;1998;1.716.152
Total;CATALUNA;Total;2021;7.763.362
Total;CATALUNA;Total;2020;7.780.479
Total;CATALUNA;Total;2019;7.675.217
Total;CATALUNA;Total;2018;7.600.065
Total;CATALUNA;Total;2017;7.555.830
Total;CATALUNA;Total;2016;7.522.596
Total;CATALUNA;Total;2015;7.508.106
Total;CATALUNA;Total;2014;7.518.903
Total;CATALUNA;Total;2013;7.553.650
Total;CATALUNA;Total;2012;7.570.908
Total;CATALUNA;Total;2011;7.539.618
Total;CATALUNA;Total;2010;7.512.381
Total;CATALUNA;Total;2009;7.475.420
Total;CATALUNA;Total;2008;7.364.078
Total;CATALUNA;Total;2007;7.210.508
Total;CATALUNA;Total;2006;7.134.697
Total;CATALUNA;Total;2005;6.995.206
Total;CATALUNA;Total;2004;6.813.319
Total;CATALUNA;Total;2003;6.704.146
Total;CATALUNA;Total;2002;6.506.440
Total;CATALUNA;Total;2001;6.361.365
Total;CATALUNA;Total;2000;6.261.999
Total;CATALUNA;Total;1999;6.207.533
Total;CATALUNA;Total;1998;6.147.610
